participant_id	age	sex	hand	weight	height	group	species	bci_experience
sub-1	28.0	n/a	R	n/a	n/a	Healthy	human	naive
sub-10	28.0	n/a	R	n/a	n/a	Healthy	human	naive
sub-11	28.0	n/a	R	n/a	n/a	Healthy	human	naive
sub-2	28.0	n/a	R	n/a	n/a	Healthy	human	naive
sub-3	28.0	n/a	R	n/a	n/a	Healthy	human	naive
sub-4	28.0	n/a	R	n/a	n/a	Healthy	human	naive
sub-5	28.0	n/a	R	n/a	n/a	Healthy	human	naive
sub-6	28.0	n/a	R	n/a	n/a	Healthy	human	naive
sub-7	28.0	n/a	R	n/a	n/a	Healthy	human	naive
sub-8	28.0	n/a	R	n/a	n/a	Healthy	human	naive
sub-9	28.0	n/a	R	n/a	n/a	Healthy	human	naive
